Timestamp,cmd_WRJ1,cmd_WRJ2,cmd_FFJ1,cmd_FFJ2,cmd_FFJ3,cmd_FFJ4,cmd_MFJ1,cmd_MFJ2,cmd_MFJ3,cmd_MFJ4,cmd_RFJ1,cmd_RFJ2,cmd_RFJ3,cmd_RFJ4,cmd_LFJ1,cmd_LFJ2,cmd_LFJ3,cmd_LFJ4,cmd_LFJ5,cmd_THJ1,cmd_THJ2,cmd_THJ3,cmd_THJ4,cmd_THJ5,state_WRJ1,state_WRJ2,state_FFJ1,state_FFJ2,state_FFJ3,state_FFJ4,state_MFJ1,state_MFJ2,state_MFJ3,state_MFJ4,state_RFJ1,state_RFJ2,state_RFJ3,state_RFJ4,state_LFJ1,state_LFJ2,state_LFJ3,state_LFJ4,state_LFJ5,state_THJ1,state_THJ2,state_THJ3,state_THJ4,state_THJ5,diag_current_WRJ1,diag_effort_WRJ1,diag_cmd_effort_WRJ1,diag_current_WRJ2,diag_effort_WRJ2,diag_cmd_effort_WRJ2,diag_current_FFJ0,diag_effort_FFJ0,diag_cmd_effort_FFJ0,diag_current_FFJ3,diag_effort_FFJ3,diag_cmd_effort_FFJ3,diag_current_FFJ4,diag_effort_FFJ4,diag_cmd_effort_FFJ4,diag_current_MFJ0,diag_effort_MFJ0,diag_cmd_effort_MFJ0,diag_current_MFJ3,diag_effort_MFJ3,diag_cmd_effort_MFJ3,diag_current_MFJ4,diag_effort_MFJ4,diag_cmd_effort_MFJ4,diag_current_RFJ0,diag_effort_RFJ0,diag_cmd_effort_RFJ0,diag_current_RFJ3,diag_effort_RFJ3,diag_cmd_effort_RFJ3,diag_current_RFJ4,diag_effort_RFJ4,diag_cmd_effort_RFJ4,diag_current_LFJ0,diag_effort_LFJ0,diag_cmd_effort_LFJ0,diag_current_LFJ3,diag_effort_LFJ3,diag_cmd_effort_LFJ3,diag_current_LFJ4,diag_effort_LFJ4,diag_cmd_effort_LFJ4,diag_current_LFJ5,diag_effort_LFJ5,diag_cmd_effort_LFJ5,diag_current_THJ1,diag_effort_THJ1,diag_cmd_effort_THJ1,diag_current_THJ2,diag_effort_THJ2,diag_cmd_effort_THJ2,diag_current_THJ3,diag_effort_THJ3,diag_cmd_effort_THJ3,diag_current_THJ4,diag_effort_THJ4,diag_cmd_effort_THJ4,diag_current_THJ5,diag_effort_THJ5,diag_cmd_effort_THJ5
1774949684.2806065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,-0.008199305417509394,-0.01142344915264093,-0.005654866776461598,0.0052534994207187324,-0.008944715794898328,-0.0047686695127985524,-0.006635468354356355,0.00842701892057346,-0.009958606150630362,-0.0024156694091597808,-0.012691795416118423,0.01397505628821083,-0.011920608654631832,0.0014218390797434031,-0.0013448598688312607,0.008069159212987453,-0.008191114268974892,-0.007308815374398503,0.0018744379989723303,0.004667387007848818,-0.0058819655205461065,-0.009645196705404615,1.207394936085192,-0.008438423133216072,0.019000,17.934314,0.000000,0.012000,3.372039,-93.050121,0.004000,-9.974379,0.000000,0.010000,-8.308351,57.138374,0.009000,-21.946839,-33.567788,0.004000,-50.188955,0.000000,0.007000,-26.724076,54.904081,0.015000,-12.414980,0.000000,0.005000,108.107817,0.000000,0.009000,6.903590,-69.222730,0.000000,19.750250,0.000000,0.014000,32.119871,0.000000,0.014000,9.151835,-50.559981,0.005000,0.925206,0.000000,0.012000,-118.719204,0.000000,0.003000,11.154839,0.000000,0.013000,7.821277,-35.587995,0.017000,19.928396,0.000000,0.013000,-0.943218,0.000000,0.011000,20.006476,0.000000
1774949684.2808785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,-0.008237764845425627,-0.011421440925431878,-0.005026548245743667,0.0052534994207187324,-0.008965415760927983,-0.004789052789402918,-0.006635468354356355,0.00842701892057346,-0.00994751512262498,-0.002434192525540525,-0.013438371617066569,0.015372561917031902,-0.011889768824344128,0.0014761824689712708,-0.002017289803246891,0.008069159212987453,-0.008228682622231871,-0.007300493768422582,0.0018896191256499784,0.004667777554858732,-0.005873330092215486,-0.009643294819713735,1.2073784518318074,-0.008457104184261856,0.019000,17.934314,0.000000,0.012000,3.372039,-93.050121,0.004000,-9.974379,0.000000,0.010000,-8.308351,57.138374,0.009000,-21.946839,-33.567788,0.004000,-50.188955,0.000000,0.007000,-26.724076,54.904081,0.015000,-12.414980,0.000000,0.005000,108.107817,0.000000,0.009000,6.903590,-69.222730,0.000000,19.750250,0.000000,0.014000,32.119871,0.000000,0.014000,9.151835,-50.559981,0.005000,0.925206,0.000000,0.012000,-118.719204,0.000000,0.003000,11.154839,0.000000,0.013000,7.821277,-35.587995,0.017000,19.928396,0.000000,0.013000,-0.943218,0.000000,0.011000,20.006476,0.000000
1774949684.2890234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,-0.00836179178650532,-0.01140698348158286,-0.005026548245743667,0.0052534994207187324,-0.008984584825662344,-0.004798945154239915,-0.006635468354356355,0.00842701892057346,-0.009908701774764274,-0.002417806840959365,-0.012691795416118423,0.01397505628821083,-0.011888098765896412,0.0014447920059634295,-0.0006724299344156304,0.008069159212987453,-0.008237361384861676,-0.007315445151424092,0.0019029614462238865,0.004668110873696351,-0.005865960042361157,-0.009635974577388809,1.2073343823464915,-0.008434507680548965,0.019000,17.934314,0.000000,0.012000,3.372039,-93.050121,0.004000,-9.974379,0.000000,0.010000,-8.308351,57.138374,0.009000,-21.946839,-33.567788,0.004000,-50.188955,0.000000,0.007000,-26.724076,54.904081,0.015000,-12.414980,0.000000,0.005000,108.107817,0.000000,0.009000,6.903590,-69.222730,0.000000,19.750250,0.000000,0.014000,32.119871,0.000000,0.014000,9.151835,-50.559981,0.005000,0.925206,0.000000,0.012000,-118.719204,0.000000,0.003000,11.154839,0.000000,0.013000,7.821277,-35.587995,0.017000,19.928396,0.000000,0.013000,-0.943218,0.000000,0.011000,20.006476,0.000000
1774949684.296772,-9.871172473786598e-07,8.565171722650703e-07,0,1.9102955025759465e-05,3.4922862440699764e-05,2.5743671477075137e-06,0,1.6908402871952132e-05,3.19684651575896e-05,2.627667827796724e-06,0,1.5132045759107637e-05,2.9114499424076773e-05,-2.5743622325086997e-06,0,2.024471860724824e-05,1.67945334717214e-05,-2.462544587343681e-06,6.446171001723158e-06,9.00250124173511e-06,5.604682672845283e-05,-0.00011305130491683153,1.1999951150767643,8.194611791911053e-06,-0.008484714028503678,-0.011401547371361412,-0.005026548245743667,0.0052534994207187324,-0.009023566205264557,-0.004796012951715646,-0.006635468354356355,0.00842701892057346,-0.009906052838932698,-0.0023991360812374843,-0.012691795416118423,0.01397505628821083,-0.01188751499809997,0.0014170230912165006,-0.002017289803246891,0.008069159212987453,-0.008246973552460778,-0.007304756083851581,0.0018878744393978299,0.004668393744227956,-0.005859705460606547,-0.009612180373187375,1.2073514715378715,-0.008454532727442409,0.019000,17.934314,0.000000,0.012000,3.372039,-93.050121,0.004000,-9.974379,0.000000,0.010000,-8.308351,57.138374,0.009000,-21.946839,-33.567788,0.004000,-50.188955,0.000000,0.007000,-26.724076,54.904081,0.015000,-12.414980,0.000000,0.005000,108.107817,0.000000,0.009000,6.903590,-69.222730,0.000000,19.750250,0.000000,0.014000,32.119871,0.000000,0.014000,9.151835,-50.559981,0.005000,0.925206,0.000000,0.012000,-118.719204,0.000000,0.003000,11.154839,0.000000,0.013000,7.821277,-35.587995,0.017000,19.928396,0.000000,0.013000,-0.943218,0.000000,0.011000,20.006476,0.000000
1774949684.3128536,-8.100175932067043e-06,7.17052906433249e-06,0,0.0001126512207888964,0.0002818019480874136,2.1487038972973634e-05,0,9.928920510403917e-05,0.00025792140403685425,2.1931765997609818e-05,0,8.87009142340049e-05,0.00023487345344652506,-2.148662476027009e-05,0,0.00012507716794319185,0.00013777982511175993,-2.0560506705102e-05,5.1961945948114794e-05,0.0005261139054395418,0.0004397803685683053,-0.0010507957086364783,1.2001028115524608,-5.932695697563645e-05,-0.008589057692825402,-0.011403189540972816,-0.005026548245743667,0.0065668742758984155,-0.00901349782247144,-0.004793775631818164,-0.006635468354356355,0.00842701892057346,-0.00988397080861399,-0.0023502879545074322,-0.012691795416118423,0.012577550659389758,-0.011849858702756576,0.0013785932993863313,-0.0013448598688312607,0.006724299344156248,-0.008255104803614794,-0.007318292092478641,0.0018923200257414997,0.004668635324290022,-0.005854363857011794,-0.009603152704268744,1.2073682409088504,-0.008471349651394157,0.019000,17.934314,0.000000,0.012000,3.372039,-93.050121,0.004000,-9.974379,0.000000,0.010000,-8.308351,57.138374,0.009000,-21.946839,-33.567788,0.004000,-50.188955,0.000000,0.007000,-26.724076,54.904081,0.015000,-12.414980,0.000000,0.005000,108.107817,0.000000,0.009000,6.903590,-69.222730,0.000000,19.750250,0.000000,0.014000,32.119871,0.000000,0.014000,9.151835,-50.559981,0.005000,0.925206,0.000000,0.012000,-118.719204,0.000000,0.003000,11.154839,0.000000,0.013000,7.821277,-35.587995,0.017000,19.928396,0.000000,0.013000,-0.943218,0.000000,0.011000,20.006476,0.000000
1774949684.3130934,-8.100175932067043e-06,7.17052906433249e-06,0,0.0001126512207888964,0.0002818019480874136,2.1487038972973634e-05,0,9.928920510403917e-05,0.00025792140403685425,2.1931765997609818e-05,0,8.87009142340049e-05,0.00023487345344652506,-2.148662476027009e-05,0,0.00012507716794319185,0.00013777982511175993,-2.0560506705102e-05,5.1961945948114794e-05,0.0005261139054395418,0.0004397803685683053,-0.0010507957086364783,1.2001028115524608,-5.932695697563645e-05,-0.00854488217483079,-0.01139156248084139,-0.005026548245743667,0.0052534994207187324,-0.00902708526733021,-0.004792438886167363,-0.006635468354356355,0.00842701892057346,-0.009864731162417885,-0.002381417015926587,-0.012691795416118423,0.012577550659389758,-0.011827735905564237,0.0014286341352372008,-0.002017289803246891,0.006724299344156248,-0.008260733971223802,-0.007308950495425237,0.0019048733831426561,0.004668841250846636,-0.0058498105920375765,-0.009619556210263662,1.207410309994099,-0.008469986746368889,0.019000,17.934314,0.000000,0.012000,3.372039,-93.050121,0.004000,-9.974379,0.000000,0.010000,-8.308351,57.138374,0.009000,-21.946839,-33.567788,0.004000,-50.188955,0.000000,0.007000,-26.724076,54.904081,0.015000,-12.414980,0.000000,0.005000,108.107817,0.000000,0.009000,6.903590,-69.222730,0.000000,19.750250,0.000000,0.014000,32.119871,0.000000,0.014000,9.151835,-50.559981,0.005000,0.925206,0.000000,0.012000,-118.719204,0.000000,0.003000,11.154839,0.000000,0.013000,7.821277,-35.587995,0.017000,19.928396,0.000000,0.013000,-0.943218,0.000000,0.011000,20.006476,0.000000
1774949684.3210073,-8.100175932067043e-06,7.17052906433249e-06,0,0.0001126512207888964,0.0002818019480874136,2.1487038972973634e-05,0,9.928920510403917e-05,0.00025792140403685425,2.1931765997609818e-05,0,8.87009142340049e-05,0.00023487345344652506,-2.148662476027009e-05,0,0.00012507716794319185,0.00013777982511175993,-2.0560506705102e-05,5.1961945948114794e-05,0.0005261139054395418,0.0004397803685683053,-0.0010507957086364783,1.2001028115524608,-5.932695697563645e-05,-0.008753795248557636,-0.011388620675069303,-0.005026548245743667,0.0052534994207187324,-0.009059086230812,-0.004790346145685241,-0.006635468354356355,0.00842701892057346,-0.009858350203067667,-0.0023366716467006325,-0.011198643014222132,0.01397505628821083,-0.011835646303035338,0.0014316080439749522,-0.0013448598688312607,0.008069159212987453,-0.008266000225027726,-0.007299257404964601,0.0019068066569278075,0.00466901674765611,-0.005845930162583446,-0.009609894062488168,1.2073073412098796,-0.008515425134912852,0.019000,17.934314,0.000000,0.012000,3.372039,-93.050121,0.004000,-9.974379,0.000000,0.010000,-8.308351,57.138374,0.009000,-21.946839,-33.567788,0.004000,-50.188955,0.000000,0.007000,-26.724076,54.904081,0.015000,-12.414980,0.000000,0.005000,108.107817,0.000000,0.009000,6.903590,-69.222730,0.000000,19.750250,0.000000,0.014000,32.119871,0.000000,0.014000,9.151835,-50.559981,0.005000,0.925206,0.000000,0.012000,-118.719204,0.000000,0.003000,11.154839,0.000000,0.013000,7.821277,-35.587995,0.017000,19.928396,0.000000,0.013000,-0.943218,0.000000,0.011000,20.006476,0.000000
1774949684.3288164,-2.0516217470210535e-05,1.9551989428783736e-05,0,0.00025344098286683714,0.0007335071977703561,5.842930769225694e-05,0,0.000223313891462635,0.0006709343625884198,5.963809329951243e-05,0,0.00019950031785081367,0.0006107435422058815,-5.842623805232393e-05,0,0.0002850131892489277,0.0003618017066364963,-5.5940037853488955e-05,0.00013571627759550808,0.0016504140091840541,0.0012220461289979283,-0.002854817012762383,1.2003965699976606,-0.000300351624543901,-0.008940606384355555,-0.011372988939114927,-0.005026548245743667,0.0052534994207187324,-0.009084697759600822,-0.004798588265593907,-0.006635468354356355,0.00842701892057346,-0.009852296296624256,-0.0023893122707681347,-0.011198643014222132,0.015372561917031902,-0.011817344031071316,0.0014335584683974794,-0.0013448598688312607,0.006724299344156248,-0.008268409264092632,-0.007313056932624386,0.0019169778067600525,0.004669166496689813,-0.005842619045060335,-0.00961344612655858,1.207302794789653,-0.008562554739468086,0.019000,17.934314,0.000000,0.012000,3.372039,-93.050121,0.004000,-9.974379,0.000000,0.010000,-8.308351,57.138374,0.009000,-21.946839,-33.567788,0.004000,-50.188955,0.000000,0.007000,-26.724076,54.904081,0.015000,-12.414980,0.000000,0.005000,108.107817,0.000000,0.009000,6.903590,-69.222730,0.000000,19.750250,0.000000,0.014000,32.119871,0.000000,0.014000,9.151835,-50.559981,0.005000,0.925206,0.000000,0.012000,-118.719204,0.000000,0.003000,11.154839,0.000000,0.013000,7.821277,-35.587995,0.017000,19.928396,0.000000,0.013000,-0.943218,0.000000,0.011000,20.006476,0.000000
1774949684.345124,-3.574587812400982e-05,3.84821210348845e-05,0,0.000452408275189765,0.0013635929761296698,0.00011469851173468072,0,0.00039977280849736504,0.0012460578340281008,0.00011706994602297946,0,0.00035760296669587753,0.001133563205239348,-0.00011468662309060046,8.04654030062399e-06,0.0004990750751329624,0.0006780968463123286,-0.00010988827363445471,0.00025240155228418987,0.003204799295984064,0.002439608385359552,-0.005420895539165443,1.2008561974796501,-0.0007255293996374774,-0.009085341900330909,-0.011359269724058813,-0.005026548245743667,0.0052534994207187324,-0.009130882749810885,-0.0048144352725504845,-0.006635468354356355,0.00842701892057346,-0.009867047951541788,-0.0024477572302262526,-0.013438371617066569,0.01397505628821083,-0.011851649387642643,0.0014851611985174727,-0.0013448598688312607,0.0053794394753249875,-0.008228038503123909,-0.007314674876162291,0.0019174616722453935,0.00466929381377979,-0.005839803922737398,-0.009616760730537008,1.2073002185268344,-0.008578873513191627,0.022000,15.453457,81.843951,0.013000,10.493313,-101.485333,0.004000,-10.864014,0.000000,0.016000,-7.156282,63.140834,0.009000,-29.360552,-34.171581,0.008000,-50.515470,0.000000,0.019000,-27.824680,63.488637,0.211000,-14.776734,0.000000,0.005000,111.737316,0.000000,0.021000,6.251700,-74.217721,0.172000,20.005171,0.000000,0.035000,31.152281,71.515434,0.015000,10.271330,-47.236444,0.007000,2.171955,-54.211865,0.057000,-110.583935,0.000000,0.003000,11.575702,-12.559561,0.013000,7.944331,-46.391165,0.096000,22.277372,-40.965445,0.014000,-1.266649,-32.994312,0.012000,19.588111,48.369959
1774949684.3454392,-3.574587812400982e-05,3.84821210348845e-05,0,0.000452408275189765,0.0013635929761296698,0.00011469851173468072,0,0.00039977280849736504,0.0012460578340281008,0.00011706994602297946,0,0.00035760296669587753,0.001133563205239348,-0.00011468662309060046,8.04654030062399e-06,0.0004990750751329624,0.0006780968463123286,-0.00010988827363445471,0.00025240155228418987,0.003204799295984064,0.002439608385359552,-0.005420895539165443,1.2008561974796501,-0.0007255293996374774,-0.009043707676278429,-0.011354129919447434,-0.005026548245743667,0.0065668742758984155,-0.009078237238721237,-0.0048094046712822075,-0.006635468354356355,0.00842701892057346,-0.00990982189397532,-0.002427229687865086,-0.013438371617066569,0.01397505628821083,-0.011857423166195747,0.001490734944827335,-0.0013448598688312607,0.006724299344156248,-0.008194233663609064,-0.007316871790060869,0.001917533079816453,0.004669402423933977,-0.005837402431550301,-0.009619604736422888,1.2072417778309763,-0.008608527483569222,0.022000,15.453457,81.843951,0.013000,10.493313,-101.485333,0.004000,-10.864014,0.000000,0.016000,-7.156282,63.140834,0.009000,-29.360552,-34.171581,0.008000,-50.515470,0.000000,0.019000,-27.824680,63.488637,0.211000,-14.776734,0.000000,0.005000,111.737316,0.000000,0.021000,6.251700,-74.217721,0.172000,20.005171,0.000000,0.035000,31.152281,71.515434,0.015000,10.271330,-47.236444,0.007000,2.171955,-54.211865,0.057000,-110.583935,0.000000,0.003000,11.575702,-12.559561,0.013000,7.944331,-46.391165,0.096000,22.277372,-40.965445,0.014000,-1.266649,-32.994312,0.012000,19.588111,48.369959
