time,rh_WRJ1_pos,rh_WRJ2_pos,rh_FFJ1_pos,rh_FFJ2_pos,rh_FFJ3_pos,rh_FFJ4_pos,rh_MFJ1_pos,rh_MFJ2_pos,rh_MFJ3_pos,rh_MFJ4_pos,rh_RFJ1_pos,rh_RFJ2_pos,rh_RFJ3_pos,rh_RFJ4_pos,rh_LFJ1_pos,rh_LFJ2_pos,rh_LFJ3_pos,rh_LFJ4_pos,rh_LFJ5_pos,rh_THJ1_pos,rh_THJ2_pos,rh_THJ3_pos,rh_THJ4_pos,rh_THJ5_pos,rh_WRJ1_vel,rh_WRJ2_vel,rh_FFJ1_vel,rh_FFJ2_vel,rh_FFJ3_vel,rh_FFJ4_vel,rh_MFJ1_vel,rh_MFJ2_vel,rh_MFJ3_vel,rh_MFJ4_vel,rh_RFJ1_vel,rh_RFJ2_vel,rh_RFJ3_vel,rh_RFJ4_vel,rh_LFJ1_vel,rh_LFJ2_vel,rh_LFJ3_vel,rh_LFJ4_vel,rh_LFJ5_vel,rh_THJ1_vel,rh_THJ2_vel,rh_THJ3_vel,rh_THJ4_vel,rh_THJ5_vel
1.3,0.038739629456461463,-0.0024899671330009185,0.166871044362493,0.2534425990326344,0.0035574579985506866,-0.21825074670028832,0.16683749950805354,0.24722972008037658,0.0006812528448634894,-0.08425812261781111,0.16690742893062283,0.2477849201243934,0.0008318682454784149,-0.05173462951367636,0.15888484285560134,0.21771608617090987,0.05126237403479905,-0.24307023084252968,0.437870233409813,-0.002822820653360766,0.0021768110175353437,0.10943958255703792,0.6012264276018807,0.006578470931762692,-0.055,0.0,0.0346024661196756,0.0016748652503950942,0.0,0.32,0.00017570793953407846,0.0008821695795735639,0.0030924600018109897,0.0028531662530989965,0.00018201716142873562,0.000844224809119866,0.0028049660568221636,0.0029219906801834276,0.006399168127599771,0.0001790250122413395,0.0010561494665896403,0.0030976630563084233,-0.00283052509568559,0.00011075484888286404,0.0001733186009078291,0.0007545510622592241,0.0034684969952025976,0.009298618137807567
1.4,0.04192157282929906,-0.002325824259835586,0.16688727623008312,0.25352498197681317,0.003845856597968812,-0.21798024897928184,0.16685428199765504,0.24730781717906833,0.0009402914061859937,-0.08398600547188043,0.16692394122628823,0.2478829971288305,0.0011190275535763474,-0.05199194936482508,0.15890086675018913,0.21778533137881526,0.05158167394057391,-0.24219975681641337,0.43846098672430633,-0.0028293982407550785,0.0021778394289395917,0.10943956581894683,0.6012969346798085,0.006591998212147105,-0.055,0.0,0.029187072372213137,0.0016072469246302603,0.0,0.32,0.00014953923394435287,0.0007664432891075569,0.0026797074630119967,0.0025499181826004196,0.00015434237130957387,0.0007204663065924265,0.002385962118686184,0.002525262943749707,0.00543707541679835,0.00015191158485185262,0.0009082857653369712,0.0026551053912802756,-0.002335919595528504,0.00015203730106479646,0.0001476040213688739,0.000633594215691608,0.002930394427374266,0.008119584830469902
1.5,0.044604874581746584,-0.002168652346204502,0.16690107060881906,0.2535961702624316,0.004094519265053554,-0.21774129061165579,0.1668685018371686,0.24737434939293107,0.0011603769241000442,-0.08375188157827669,0.16693794123811365,0.24796715457534466,0.0013647455712773398,-0.052205171102188974,0.15891449167298385,0.21784340976533864,0.05185098923098745,-0.2414436406380306,0.4389618861248869,-0.0028349721068378544,0.002180890659095171,0.10943955406173746,0.6013498565789106,0.006607767385718279,-0.055,0.0,0.024607241281987786,0.0015356055639035408,0.0,0.32,0.00012690846948009573,0.0006590551591696938,0.002300086416615052,0.0022297548126125285,0.00013067520256955457,0.0006127686579784175,0.0020248860372459637,0.0021638143054511713,0.004601689321988163,0.00012869515718525338,0.0007777065092888026,0.0022681874736696977,-0.0019426514650332045,0.0001595059507878704,0.00012525469318241543,0.0005309657247687393,0.0024681338603901536,0.007019333142260986
1.6,0.04686668572055057,-0.0020188004962085025,0.16691276534903218,0.25365717113473674,0.004307270815412705,-0.21753380498473607,0.16688053393098873,0.24743086527884328,0.0013469896183227088,-0.08355187038545771,0.16694979392718184,0.24803909031902213,0.0015743722275521662,-0.052382912290388974,0.1589260441212488,0.2178920583514032,0.0520776260272737,-0.2407922314170499,0.4393853142859715,-0.002839711363834546,0.0021845981272375805,0.10943954545450166,0.6013907802223706,0.006623366416703191,-0.055,0.0,0.02073793028223408,0.0014610465428609297,0.0,0.32,0.00010748515771938556,0.0005629438776466524,0.001962138714136523,0.0019238205503249613,0.0001105040493692421,0.0005198982601232308,0.00171543981536595,0.0018433517618931209,0.0038858437911809458,0.00010888589903484341,0.0006636683098774109,0.0019324644735719512,-0.0016226963490162509,0.00015072164994030728,0.00010604319996725098,0.00044465301590261965,0.0020755109594258183,0.006028124077171398
1.7,0.048772539893009906,-0.0018764997979303292,0.16692266285513352,0.2537091564056619,0.00448837873599425,-0.21735559586571185,0.16689070391026642,0.2474787715722991,0.0015049751589130912,-0.08338184395974223,0.16695981696768197,0.24810039634265832,0.0017527757725978143,-0.052531562662538826,0.1589358216814728,0.2179327951360626,0.05226813434782833,-0.24023411887787424,0.4397426252041697,-0.00284375016582715,0.0021882823555097602,0.10943953892670699,0.601423164056618,0.006637684813136333,-0.055,0.0,0.0174715119069307,0.0013847819213301253,0.0,0.32,9.090064155503466e-5,0.0004787263684484062,0.001667030237391888,0.0016455198053733143,9.335708906476753e-5,0.00044030950271014207,0.0014513129426328233,0.0015638246941632227,0.003277085629167328,9.202995089446572e-5,0.0005648686277395496,0.001642856983029683,-0.0013584974746447913,0.00013498757164121262,8.963892844916107e-5,0.00037238122555061895,0.0017441012023114517,0.005153468285412753
1.8,0.05037799699628169,-0.0017418628218506922,0.166931028657014,0.25375329586622086,0.004642027388154396,-0.21720362945881924,0.16689929257295114,0.24751931608181793,0.0016385637475790065,-0.08323782977427709,0.16696828482152315,0.24815252091113493,0.0019043074296701047,-0.05265607696182577,0.15894408735377066,0.2179669143078508,0.05242820187198002,-0.23975777116992522,0.4400438426708089,-0.0028471976474558998,0.002191630641716987,0.10943953383454234,0.6014492340644809,0.006650295589389387,-0.055,0.0,0.01471581086045939,0.0013079509084659457,0.0,0.32,7.679099955846664e-5,0.00040588717847920034,0.0014123894202019765,0.001399225351858435,7.881017485342651e-5,0.00037239914335622954,0.0012265487548806897,0.001322535151958383,0.0027617011697934593,7.771767995750317e-5,0.00047977651619637943,0.0013941697140861554,-0.001138362938445777,0.0001171264595456834,7.569017115172071e-5,0.0003119853857775452,0.0014652954806692075,0.004391647810276276
1.9,0.05173009136043265,-0.001614895259776494,0.1669380930553557,0.2537906791081002,0.004772076967057562,-0.2170746848531744,0.1669065407729523,0.24755358911989256,0.001751415470226276,-0.08311618766274392,0.1669754333072449,0.24819675598682756,0.0020328064431902864,-0.052760425371035764,0.15895106956616167,0.2179955052377141,0.05256268426656373,-0.23935232187521763,0.4402976367237166,-0.002850144115281415,0.0021945229828490734,0.10943952977676683,0.6014704849846827,0.006661120763773141,-0.055,0.0,0.012392179175721583,0.0012315448542470377,0.0,0.32,6.481778389426737e-5,0.0003434126559827098,0.0011943441313131788,0.0011848443260110786,6.64884892560482e-5,0.0003146348813012517,0.0010357194729874483,0.0011157161185123777,0.002326515569913948,6.558584331475699e-5,0.00040681960959439243,0.0011813955501448728,-0.000953998752209362,9.9544239504253e-5,6.386125000947301e-5,0.00026154507131546267,0.001231144137104277,0.0037337893478831923
2.0,0.0528685933804457,-0.0014955121299468472,0.166944054170469,0.2538222840812293,0.004881972113013779,-0.2169656682824819,0.1669126542818215,0.24758253397020566,0.0018466769914908885,-0.0830136723633981,0.16698146419387636,0.2482342387239854,0.0021416280527899035,-0.052847860080359806,0.15895696467148235,0.21801947894647464,0.05267568855879618,-0.23900790882689338,0.4405114196852176,-0.002852665119243761,0.002196937846195622,0.10943952649270758,0.6014879639256784,0.006670251557726682,-0.055,0.0,0.010433700241681,0.001156384863680011,0.0,0.32,5.4676590746953555e-5,0.0002901220719478996,0.001008577245867807,0.001000207159025899,5.606470331650561e-5,0.00026561444148073316,0.0008739883817238221,0.000939327572734845,0.001959615507929137,5.531626978661983e-5,0.0003444861431698112,0.0009998804269478014,-0.0007991791291780722,8.33542913062554e-5,5.384774285284753e-5,0.00021941372485938574,0.001034644887549665,0.003169056135140315
2.1,0.05382709985276788,-0.001383554778129326,0.16694908148867804,0.2538489697145537,0.004974726847554818,-0.21687375195984612,0.1669178083663188,0.24760696118438227,0.0019270409877599824,-0.08292743885519113,0.16698654956093106,0.2482659604401525,0.0022336832300693054,-0.052921082147796616,0.15896194036419453,0.21803959497607853,0.05277067101590909,-0.23871577859821755,0.4406914856492787,-0.002854824292837892,0.0021989014575384772,0.1094395238053322,0.6015024335909092,0.006677852783561352,-0.055,0.0,0.008783562820719041,0.0010831251034419081,0.0,0.32,4.6099138501952054e-5,0.00024483454865362485,0.0008508520633337251,0.0008423084334498766,4.725535558671488e-5,0.0002240869760471696,0.0007371088089535865,0.0007894483662529728,0.0016505595183917484,4.663271387587543e-5,0.0002913768812889224,0.0008454006387854043,-0.0006690184308593253,6.898844239077429e-5,4.538102133615108e-5,0.0001842040835870082,0.0008697790739881068,0.0026863013667362385
2.2,0.054633970805937015,-0.0012788068822114325,0.16695331943163633,0.2538714803647604,0.005052946395713708,-0.21679642238339533,0.1669221519597742,0.24762756391685076,0.0019948036325047667,-0.08285502017693312,0.1669908357962597,0.24829277918060563,0.002311483237961815,-0.05298235311116913,0.1589661392674223,0.218056485863604,0.05285053253377755,-0.23846827126162798,0.4408431576855289,-0.0028566754490379426,0.0022004607762365442,0.10943952158908322,0.6015144684173942,0.006684112928942667,-0.055,0.0,0.0073936173290598765,0.0010122677820610963,0.0,0.32,3.885203592264818e-5,0.00020644786115630513,0.0007172543368609193,0.000707940523851343,3.9816477827279825e-5,0.0001889545983963436,0.0006213899927145063,0.0006624572779219038,0.0013903534834052624,3.929688521866449e-5,0.00024622767402707554,0.0007141864819428984,-0.0005595606836179785,5.652805727445852e-5,3.822779736419974e-5,0.00015475783024061857,0.0007314417798146717,0.0022748939623023373
2.3,0.05531313096234472,-0.0011810086960466902,0.16695689071420003,0.2538904555634842,0.005118864951070417,-0.21673148305161266,0.1669258113841799,0.24764493285511346,0.0020519177867347337,-0.08279429325195727,0.16699444718136983,0.24831543360969424,0.0023771848200180184,-0.05303357483834395,0.15896968234542574,0.21807067835486185,0.05291770478721172,-0.23825874719648477,0.4409709268856476,-0.0028582642017938318,0.0022016693465656554,0.1094395197513696,0.60152451290062,0.006689218958985584,-0.055,0.0,0.006223110704148242,0.0009441825391512344,0.0,0.32,3.273399803624825e-5,0.0001739705944561979,0.0006042852340328265,0.0005940056041544749,3.3539056479966115e-5,0.00015926396128124797,0.0005236475152941272,0.000555103691569571,0.0011713273431516009,3.3104240754583235e-5,0.0002079150103591161,0.0006029140869404421,-0.00046753723970003534,4.588265076251059e-5,3.218744670794171e-5,0.00013011202880425538,0.0006153344865088418,0.0019250974423168931
